parent,distance,keytag,importance,biz_ext,type,photos,building,typecode,shopinfo,poiweight,adname,featured_reviews_remake,tel,id,address,space_num,pname,biz_type,cityname,childtype,atag,name,location,shopid,favorite_num,featured_reviews,category,query_grid_id,page
B0H2JSUKD2,[],奶茶/茶饮,[],[],餐饮服务;冷饮店;冷饮店,[],[],050700,0,[],雁塔区,[],17702935319,B0K64UJPVA,大雁塔街道西影路512号号西影TIME1层1F-06号位,[],陕西省,diner,西安市,202,"牛乳,热饮",霸王茶姬(西安西影Time店),"108.970546,34.222298",[],[],[],catering,388,1
B0H2JSUKD2,[],"餐饮服务,餐饮相关场所,餐饮相关",[],[],餐饮服务;餐饮相关场所;餐饮相关,[],[],050000,0,[],雁塔区,[],17392598528,B0K2F7OO7Q,西影TIME一层13铺,[],陕西省,diner,西安市,202,"三明治,牛肉",Bagel Chef Bakery Meal食馥,"108.970575,34.222125",[],[],[],catering,388,1
B0H2JSUKD2,[],韩国料理,[],[],餐饮服务;中餐厅;中餐厅,[],[],050100,0,[],雁塔区,[],18066632291,B0K229E6SE,西影Time一楼1-18号铺,[],陕西省,diner,西安市,202,"拌饭,韩式炸鸡,炸鸡",安东食堂(西影Time店),"108.970502,34.222429",[],[],[],catering,388,1
B001D0WGRR,[],小吃快餐,[],[],购物服务;购物相关场所;购物相关场所|餐饮服务;餐饮相关场所;餐饮相关,[],[],060000|050000,0,[],雁塔区,[],029-89353791,B0L65CJRAF,西影路63号金裕花园二期1幢1单元1层10109号,[],陕西省,[],西安市,320,牛肉水饺,利味记牛肉水饺专家(西影路店),"108.970369,34.223561",[],[],[],catering,388,1
B001D0VJ96,[],中餐,[],[],餐饮服务;中餐厅;特色/地方风味餐厅,[],[],050118,0,[],雁塔区,[],029-81068928;13186158434,B0G177086N,西影路583号,[],陕西省,diner,西安市,320,"牛肉,茄子,蒸饺",渭南蒸饺店(西影路店),"108.970030,34.223464",[],[],[],catering,388,1
B0H2JSUKD2,[],韩国料理,[],[],餐饮服务;外国餐厅;日本料理,[],[],050202,0,[],雁塔区,[],18149091186,B0K0UD6O3N,曲江新区西影TIME三层3-03号商铺,[],陕西省,diner,西安市,202,[],泰熙家(西影厂店),"108.970575,34.222325",[],[],[],catering,388,1
B0H2JSUKD2,[],西餐,[],[],餐饮服务;中餐厅;中餐厅,[],[],050100,0,[],雁塔区,[],19929013001,B0JDNU5ZFL,西影Time3楼,[],陕西省,diner,西安市,202,"牛排,沙拉,牛肉,奶油,鸡肉",硬核觉醒战斧牛排(西影店),"108.970635,34.222263",[],[],[],catering,388,1
B0H2JSUKD2,[],咖啡,[],[],餐饮服务;咖啡厅;咖啡厅,[],[],050500,0,[],雁塔区,[],18706780791,B0L0DHNB2V,西影time2F2-09A,[],陕西省,diner,西安市,202,猫咖啡,橘猫咖啡,"108.970619,34.222163",[],[],[],catering,388,1
B001D06X8X,[],面馆,[],[],餐饮服务;中餐厅;中餐厅,[],[],050100,0,[],雁塔区,[],13619227906,B0FFI6X2KG,西影路维也纳国际酒店对面,[],陕西省,diner,西安市,320,擀面皮,晓辉擀面皮(西影路店),"108.967168,34.223107",[],[],[],catering,388,1
B0H2JSUKD2,[],冰淇淋,[],[],餐饮服务;冷饮店;冷饮店,[],[],050700,0,[],雁塔区,[],13384989661;19991485373,B0L22L0DBW,西影TIME1层1-10号商铺,[],陕西省,diner,西安市,202,刨冰,富山刨冰kakigori(西影TIME店),"108.970617,34.221968",[],[],[],catering,388,1
[],[],西餐,[],[],餐饮服务;外国餐厅;西餐厅(综合风味),[],[],050201,0,[],雁塔区,[],17316691631,B0K1V9MJQ8,芙蓉西路106号,[],陕西省,diner,西安市,[],双人餐,宽鱼bistro,"108.970149,34.221324",[],[],[],catering,388,1
B0H2JSUKD2,[],甜品店,[],[],餐饮服务;甜品店;甜品店,[],[],050900,1,[],雁塔区,[],18191275957,B0J0MDRZB7,芙蓉西路与西影路交汇西影TIME商场一楼南门里第一家,[],陕西省,diner,西安市,202,"下午茶,柠檬,奶油",哏啾啾AL DENTE(西影TIME店),"108.970536,34.221896",[],[],[],catering,388,1
B0H2JSUKD2,[],西餐,[],[],餐饮服务;餐饮相关场所;餐饮相关,[],[],050000,0,[],雁塔区,[],15319962010,B0MBYR5MM3,西影路512号西影TIME南门口,[],陕西省,diner,西安市,202,"双人餐,单人餐",滋可可手打牛肉汉堡,"108.970740,34.221842",[],[],[],catering,388,2
B001D0759M,[],烧烤,[],[],餐饮服务;中餐厅;特色/地方风味餐厅,[],[],050118,0,[],雁塔区,[],029-85514097,B0FFGB65CC,西影路雁影华庭1层,[],陕西省,diner,西安市,202,"烤肉,双人餐",勇利赵家烤肉坊(西影路店),"108.971463,34.223956",[],[],[],catering,388,2
B0H2JSUKD2,[],饮品,[],[],餐饮服务;咖啡厅;星巴克咖啡,[],[],050501,0,[],雁塔区,[],029-89837005,B0H3SDJUBA,大雁塔街道西影路508号西影Time一层1-01单元,[],陕西省,diner,西安市,202,"三明治,提拉米苏,星冰乐",星巴克(西安西影Time店),"108.970557,34.222671",[],[],[],catering,388,2
B0H2JSUKD2,[],西式糕点,[],[],餐饮服务;糕饼店;糕饼店,[],[],050800,0,[],雁塔区,[],18629535357,B0IAJ7ZPNU,西影路西影TIME1层1-04A,[],陕西省,diner,西安市,202,"覆盆子开心果拿破仑,法式苹果修颂,原味可颂,红豆乳酪面包,黑芝麻碱水,香草意式奶油面包,肉桂面包,黑麦红酒无花果,传统法棍,有机石磨全麦种子贝果,无敌盐面包,小面包,菠菜,小蛋糕,蘑菇,芝士蛋糕",UGLY BREAD(西影TIME店),"108.970752,34.222634",[],[],[],catering,388,2
B0FFK31WE1,[],粤菜,[],[],餐饮服务;中餐厅;中餐厅,[],[],050100,0,[],雁塔区,[],029-88882211,B0GK0N8DCY,西影路508号西安电影制片厂院内,[],陕西省,diner,西安市,320,"私房菜,家常菜,广式手工虾饺皇,煲仔饭,豆腐,广式白切鸡,三文鱼,小酥肉,毛血旺,腊味煲仔饭",茶影广东老味(西影电影园区店),"108.970476,34.221532",[],[],[],catering,388,2
[],[],小吃快餐,[],[],餐饮服务;中餐厅;特色/地方风味餐厅,[],[],050118,0,[],雁塔区,[],029-81068928;13299139996,B0MDZU7Z46,西影路568号(大雁塔地铁站C东南口步行400米),[],陕西省,diner,西安市,[],"虾肉蒸饺,素蒸饺,大肉蒸饺,韭菜蒸饺,西红柿鸡蛋汤,豆角蒸饺,鸡蛋汤,牛肉蒸饺,蒸饺,酸辣肚丝汤,茄子蒸饺,韭菜鸡蛋,虾饺",渭南蒸饺店(西影路店),"108.968714,34.223129",[],[],[],catering,388,2
B0FFJ0EDV6,[],胡辣汤,[],[],餐饮服务;快餐厅;快餐厅,[],[],050300,0,[],雁塔区,[],18092230456,B0I3KZ8CGP,曲江新区芙蓉西路龙湖雁塔天宸12栋1单元113室,[],陕西省,diner,西安市,320,"肉丸胡辣汤,胡辣汤,油茶麻花",超级丸肉丸糊辣汤(雁塔天宸店),"108.969892,34.220776",[],[],[],catering,388,2
B0FFJ0EDV6,[],湘菜,[],[],餐饮服务;中餐厅;湖南菜(湘菜),[],[],050108,1,[],雁塔区,[],18673118742,B0J2U93065,芙蓉西路3888号,[],陕西省,diner,西安市,320,"辣椒炒肉,农家辣椒小炒肉,优选剁椒鱼头,小炒优质黄牛肉,小炒黄牛肉",老湘好湖南小炒(雁塔天宸店),"108.969886,34.221135",[],[],[],catering,388,2
B001D06X8X,[],中餐,[],[],餐饮服务;中餐厅;特色/地方风味餐厅,[],[],050118,1,[],雁塔区,[],13399118386;13474570509,B0H129BERU,市委党校路三号楼临街商铺,[],陕西省,diner,西安市,320,盖饭,美咋咧盖饭(市委党校小区店),"108.967626,34.223106",[],[],[],catering,388,2
B001D0WGRR,[],小吃快餐,[],[],餐饮服务;中餐厅;中餐厅,[],[],050100,0,[],雁塔区,[],029-85562390,B0FFFCRLZZ,西影路585号,[],陕西省,diner,西安市,320,"南瓜粥,米线,汉堡,肉夹馍,皮蛋瘦肉粥,面皮",魏家凉皮(西影路店),"108.970650,34.223556",[],[],[],catering,388,2
B0H2JSUKD2,[],冰淇淋,[],[],餐饮服务;冷饮店;冷饮店,[],[],050700,0,[],雁塔区,[],15399481759,B0L27RL8HV,西影路512号西影TIME一层1-02号商铺,[],陕西省,diner,西安市,202,"棉花糖,小蛋糕",DQ·蛋糕·冰淇淋(西安西影TIME店),"108.970589,34.222354",[],[],[],catering,388,2
B0H2JSUKD2,[],奶茶/茶饮,[],[],餐饮服务;冷饮店;冷饮店,[],[],050700,0,[],雁塔区,[],19591555625,B0JRUY032A,西影路西影TIME商场一楼1-20号铺,[],陕西省,diner,西安市,202,双人餐,柠季·手打柠檬茶(西安西影TIME店),"108.970589,34.222354",[],[],[],catering,388,2
B001D06X8X,[],面馆,[],[],餐饮服务;中餐厅;中餐厅,[],[],050100,0,[],雁塔区,[],[],B0MBP60AIF,西影路606号市委党校小区,[],陕西省,diner,西安市,320,一碗面,一碗面,"108.967681,34.223105",[],[],[],catering,388,2
B0H2JSUKD2,[],面馆,[],[],餐饮服务;中餐厅;中餐厅,[],[],050100,0,[],雁塔区,[],[],B0LDLXWLGE,西影路496号西影TIME F3层,[],陕西省,diner,西安市,202,biangbiang面,biangbiang面(西影TIME店),"108.970596,34.222596",[],[],[],catering,388,2
B0H2JSUKD2,[],涮羊肉,[],[],餐饮服务;中餐厅;火锅店,[],[],050117,0,[],雁塔区,[],029-89838115;18229087892,B0K1ZGX0WR,西影路508号西影TIME三层3-07铺位,[],陕西省,diner,西安市,202,"单人餐,双人餐",京小涮·涮羊肉(西影TIME店),"108.970650,34.221956",[],[],[],catering,388,2
B0H2JSUKD2,[],中餐,[],[],餐饮服务;中餐厅;湖南菜(湘菜),[],[],050108,0,[],雁塔区,[],17791266669,B0J23HC09L,西影路496号一层1-14西影TIME,[],陕西省,diner,西安市,202,"现炒牛肉,牛腩,豆腐,小炒黄牛肉,工作餐,酸菜鱼,黄牛肉,辣椒炒肉",辣帮现炒黄牛肉(西影TIME店),"108.970658,34.222176",[],[],[],catering,388,2
B001D06X8X,[],小吃快餐,[],[],餐饮服务;中餐厅;中餐厅,[],[],050100,0,[],雁塔区,[],[],B0LGVBSLHQ,西影路606号市委党校小区,[],陕西省,diner,西安市,320,西安小吃,高磊西安小吃,"108.967239,34.223086",[],[],[],catering,388,2
B001D0VWAX,[],羊肉泡馍,[],[],餐饮服务;中餐厅;清真菜馆|餐饮服务;中餐厅;特色/地方风味餐厅,[],[],050121|050118,0,[],雁塔区,[],[],B0FFGVZJKO,大雁塔北广场全季酒店楼下,[],陕西省,diner,西安市,324,"泡馍,羊肉",同盛德泡馍(大雁塔北广场店),"108.966320,34.222679",[],[],[],catering,388,2
B001D0VWAX,[],中餐,[],[],餐饮服务;中餐厅;中餐厅,[],[],050100,0,[],雁塔区,[],15389215718,B0FFHUN7OW,大雁塔街道大雁塔北广场全季酒店一楼,[],陕西省,diner,西安市,324,面食,陕西葫芦头(大雁塔北广场店),"108.966329,34.222818",[],[],[],catering,388,2
B001D06X8X,[],刀削面,[],[],餐饮服务;中餐厅;中餐厅,[],[],050100,1,[],雁塔区,[],17791318495,B0HBYAHIWP,市委党校新村小区606,[],陕西省,diner,西安市,320,[],金马刀削面(市委党校小区店),"108.967276,34.223126",[],[],[],catering,388,2
B0FFJ0EDV6,[],面馆,[],[],餐饮服务;中餐厅;清真菜馆,[],[],050121,0,[],雁塔区,[],18697210505,B0GKD7SPDF,芙蓉西路龙湖雁塔天宸12-10106商铺,[],陕西省,diner,西安市,320,[],兰州牛肉面,"108.969895,34.221022",[],[],[],catering,388,2
[],[],中餐,[],[],餐饮服务;餐饮相关场所;餐饮相关,[],[],050000,0,[],雁塔区,[],17602824539,B0K6LZIHR5,曲江新区西影路508号西影电影圈子生活美学馆2F,[],陕西省,diner,西安市,[],"肉饼,佛跳墙,烤鸭,蟹肉,鸭肉",唐隐·私宴,"108.971759,34.222447",[],[],[],catering,388,2
B001D06YRC,[],川菜,[],[],餐饮服务;中餐厅;火锅店,[],[],050117,0,[],雁塔区,[],[],B0FFJBV1U3,西影路甲18号天豪花园,[],陕西省,diner,西安市,320,[],成都宽窄巷(天豪花园店),"108.967840,34.224547",[],[],[],catering,388,2
B001D06X8X,[],面馆,[],[],餐饮服务;中餐厅;中餐厅,[],[],050100,0,[],雁塔区,[],13709269981;15091373075,B0FFMEG3RS,西影路634号市委党校临街商铺,[],陕西省,diner,西安市,320,岐山面,小张岐山面(大唐不夜城店),"108.966891,34.223069",[],[],[],catering,388,2
[],[],羊肉泡馍,[],[],餐饮服务;中餐厅;清真菜馆,[],[],050121,0,[],雁塔区,[],15114878414;18629508980,B0FFHNS6S6,大方实业总公司西家属院东门旁,[],陕西省,diner,西安市,[],烤肉,长盛斋泡馍馆(西影社区店),"108.971663,34.224316",[],[],[],catering,388,2
B0FFJ0EDV6,[],小吃快餐,[],[],餐饮服务;中餐厅;清真菜馆,[],[],050121,0,[],雁塔区,[],15229308217,B0LAX53GDZ,曲江新区芙蓉西路3888号,[],陕西省,diner,西安市,320,"酱牛肉,小炒泡馍,素菜拼盘,水盆羊肉,牛肉泡馍,水盆羊肉,普通羊肉泡馍,羊肉水盆,单人餐",老马家泡馍馆(西安雁塔区),"108.969919,34.220578",[],[],[],catering,388,3
[],[],"餐饮服务,餐饮相关场所,餐饮相关",[],[],餐饮服务;餐饮相关场所;餐饮相关,[],[],050000,0,[],雁塔区,[],[],B0L615MULE,芙蓉西路106号雅致酒店12楼宴会厅,[],陕西省,diner,西安市,[],[],长安季,"108.970764,34.220583",[],[],[],catering,388,3
[],[],小吃快餐,[],[],餐饮服务;中餐厅;中餐厅,[],[],050100,0,[],雁塔区,[],18066962183,B0KDTSDY4A,维也纳国际西安大雁塔大唐不夜城店东门旁,[],陕西省,diner,西安市,[],"单人餐,羊肉,擀面皮,双人餐,辣子蒜羊血,水盆羊肉",澄城学斌水盆羊肉(大雁塔旗舰店),"108.967583,34.223638",[],[],[],catering,388,3
[],[],咖啡,[],[],餐饮服务;咖啡厅;咖啡厅,[],[],050500,0,[],雁塔区,[],029-89311177;17782878800,B0IUCC38N6,西影路西安电影制片厂院内,[],陕西省,diner,西安市,[],[],24HCOLOR(西安西影院子店),"108.971431,34.221108",[],[],[],catering,388,3
[],[],西北菜,[],[],餐饮服务;餐饮相关场所;餐饮相关,[],[],050000,1,[],雁塔区,[],029-85359988;18401224853,B0FFK4K334,西安电影制片厂内置景车间,[],陕西省,diner,西安市,[],"葫芦鸡,羊肉泡,羊肉泡馍,羊肉,五花肉,鸡肉",长安荟·原味陕菜,"108.971625,34.221594",[],[],[],catering,388,3
B001D06X8X,[],黄焖鸡米饭,[],[],餐饮服务;中餐厅;中餐厅,[],[],050100,0,[],雁塔区,[],18092401810;18710471076,B0FFGTEQ9W,西影路606号市委党校小区,[],陕西省,diner,西安市,320,黄焖鸡米饭,黄焖鸡米饭(市委党校小区店),"108.967105,34.223106",[],[],[],catering,388,3
[],[],中餐,[],[],餐饮服务;中餐厅;综合酒楼,[],[],050101,1,[],雁塔区,[],029-68661888;17782689960,B0KGG61D7F,西影路辅路与乐游路交叉口西60米维也纳国际酒店一层,[],陕西省,diner,西安市,[],自助餐,锦粤宫·融合粤菜(西安店),"108.967040,34.223592",[],[],[],catering,388,3
B0H2JSUKD2,[],咖啡,[],[],餐饮服务;咖啡厅;咖啡厅,[],[],050500,0,[],雁塔区,[],[],B0M615HS30,西影路496号西影TIME,[],陕西省,diner,西安市,202,coffee,treetime coffee(西影TIME店),"108.970575,34.222375",[],[],[],catering,388,3
B001D06YRC,[],小吃快餐,[],[],餐饮服务;中餐厅;中餐厅,[],[],050100,0,[],雁塔区,[],15719281712;17792586741,B0KB75HIOF,西影路甲18号天豪花园,[],陕西省,diner,西安市,320,热米皮,瑶瑶热米皮(天豪花园店),"108.967840,34.224507",[],[],[],catering,388,3
B0FFJ0EDV6,[],便利店,[],[],餐饮服务;咖啡厅;咖啡厅|购物服务;便民商店/便利店;便民商店/便利店,[],[],050500|060200,0,[],雁塔区,[],[],B0K2SB0CFV,芙蓉西路3888号雁塔天宸,[],陕西省,diner,西安市,320,[],缤果便利24小时便利店(芙蓉西路店),"108.969925,34.220140",[],[],[],catering,388,3
[],[],中餐,[],[],餐饮服务;餐饮相关场所;餐饮相关,[],[],050000,0,[],雁塔区,[],15398050590,B0L6MCUHLN,西影路508号西安电影制片厂内艺创中心2楼(西影大厦对面),[],陕西省,diner,西安市,[],[],最安康·硒宴,"108.971783,34.221122",[],[],[],catering,388,3
[],[],咖啡,[],[],餐饮服务;咖啡厅;咖啡厅,[],[],050500,0,[],雁塔区,[],[],B0L3O9ZG8C,西影路辅路与后村南路交叉口南300米,[],陕西省,diner,西安市,[],[],普尔咖啡Pour Cafe(影屋店),"108.971436,34.220489",[],[],[],catering,388,3
B0H2JSUKD2,[],酸奶,[],[],餐饮服务;冷饮店;冷饮店,[],[],050700,0,[],雁塔区,[],19128308797,B0K6P4UWF4,西影路496号西影TIME F1层,[],陕西省,diner,西安市,202,[],我是酸奶君(西影TIME店),"108.970608,34.222268",[],[],[],catering,388,3
B0FFJ0EDV6,[],小吃快餐,[],[],餐饮服务;快餐厅;快餐厅,[],[],050300,0,[],雁塔区,[],14700088369,B0IRS5B3B7,芙蓉西路3888号雁塔天宸,[],陕西省,diner,西安市,320,[],沙县小吃(雁塔天宸店),"108.969928,34.220584",[],[],[],catering,388,3
B0H2JSUKD2,[],古镇古村,[],[],餐饮服务;餐饮相关场所;餐饮相关,[],[],050000,0,[],雁塔区,[],[],B0LBSDNM5L,西影路496号西影TIME F3层,[],陕西省,diner,西安市,202,[],袁家村四川恩阳古镇,"108.970648,34.222526",[],[],[],catering,388,3
[],[],茶座,[],[],餐饮服务;茶艺馆;茶艺馆,[],[],050600,0,[],雁塔区,[],029-85417306,B0FFH9BVW6,金裕云顶南1门旁,[],陕西省,diner,西安市,[],[],麦迪语茶(西影路店),"108.970796,34.223596",[],[],[],catering,388,3
B0H2JSUKD2,[],小吃快餐,[],[],餐饮服务;餐饮相关场所;餐饮相关,[],[],050000,0,[],雁塔区,[],17782892712,B0JRR5TV2W,大雁塔街道西影路508号,[],陕西省,diner,西安市,202,"单人餐,盖码饭",霸碗盖码饭(西安西影路店),"108.971614,34.222755",[],[],[],catering,388,3
B0FFJ0EDV6,[],小吃快餐,[],[],餐饮服务;餐饮相关场所;餐饮相关,[],[],050000,1,[],雁塔区,[],15902927599;18909208666,B0GRMAYLGO,芙蓉西路,[],陕西省,diner,西安市,320,肉夹馍,陕西老潼关肉夹馍(西影厂店),"108.969909,34.220301",[],[],[],catering,388,3
[],[],米线,[],[],餐饮服务;中餐厅;中餐厅,[],[],050100,0,[],雁塔区,[],[],B0FFL6WBO9,西影路63号,[],陕西省,diner,西安市,[],[],冬梅米线店,"108.971472,34.223764",[],[],[],catering,388,3
[],[],小吃快餐,[],[],餐饮服务;餐饮相关场所;餐饮相关,[],[],050000,0,[],雁塔区,[],[],B0GU5AVYZT,西影路634号(大雁塔地铁站C东南口步行240米),[],陕西省,diner,西安市,[],"大饼,擀面皮,火腿",刘大饼香辣土豆片夹馍(市委党校小区店),"108.967001,34.223127",[],[],[],catering,388,3
B0H2JSUKD2,[],小吃快餐,[],[],餐饮服务;中餐厅;中餐厅,[],[],050100,0,[],雁塔区,[],[],B0LB2LRJI4,西影路496号西影TIME F3层,[],陕西省,diner,西安市,202,[],包子花卷(西影TIME店),"108.970478,34.222135",[],[],[],catering,388,3
B0H2JSUKD2,[],肉夹馍,[],[],餐饮服务;中餐厅;中餐厅,[],[],050100,0,[],雁塔区,[],[],B0L2B5KFB3,西影路496号西影TIME,[],陕西省,diner,西安市,202,肉夹馍,花王肉夹馍(西影TIME店),"108.970587,34.222627",[],[],[],catering,388,3
B0H2JSUKD2,[],奶茶/茶饮,[],[],餐饮服务;冷饮店;冷饮店,[],[],050700,0,[],雁塔区,[],[],B0MBYO60QV,西影路496号西影TIME,[],陕西省,diner,西安市,202,[],袁家村手作奶茶,"108.970475,34.222825",[],[],[],catering,388,3
[],[],小吃快餐,[],[],餐饮服务;中餐厅;清真菜馆,[],[],050121,0,[],雁塔区,[],029-89642615,B0FFKGKDGA,红星街与西影路交叉口西50米,[],陕西省,diner,西安市,[],单人餐,清真逍遥镇老宋家胡辣汤(西影路店),"108.971171,34.223578",[],[],[],catering,388,3
B001D0VWAX,[],湘菜,[],[],餐饮服务;中餐厅;湖南菜(湘菜),[],[],050108,1,[],雁塔区,[],17791782196,B0H1V5T1YL,曲江新区大雁塔北广场环塔东路一号A5商铺,[],陕西省,diner,西安市,324,"牛肉,羊肉串,烤串",川湘菜馆(大雁塔北广场店),"108.966379,34.222472",[],[],[],catering,388,3
[],[],小吃快餐,[],[],餐饮服务;中餐厅;特色/地方风味餐厅,[],[],050118,0,[],雁塔区,[],13186158434;18709186676,B0G29DNABP,西影路587号金裕云顶一楼商铺西边第一间(市委党校斜对面),[],陕西省,diner,西安市,[],[],渭南蒸饺店,"108.969951,34.223564",[],[],[],catering,388,4
B0FFJ0EDV6,[],小吃快餐,[],[],餐饮服务;中餐厅;中餐厅,[],[],050100,1,[],雁塔区,[],15353106718,B0G0JDI0Y8,芙蓉西路雁塔龙湖天辰小区门面房11-10101,[],陕西省,diner,西安市,320,"秦镇凉皮,秦镇米皮",秦镇凉皮(西影厂店),"108.969928,34.220692",[],[],[],catering,388,4
B001D0VWAX,[],肉夹馍,[],[],餐饮服务;快餐厅;快餐厅,[],[],050300,0,[],雁塔区,[],17719510853,B0FFIR0HHY,塔东路1号(近全季酒店、西安银行),[],陕西省,diner,西安市,324,"猪肉,面食,肉夹馍,腊汁肉夹馍",赵记腊汁肉夹馍(大雁塔北广场店),"108.966321,34.222781",[],[],[],catering,388,4
[],[],咖啡,[],[],餐饮服务;咖啡厅;咖啡厅,[],[],050500,1,[],雁塔区,[],029-81209771,B0MBSUE4NU,西影路508号西影TIME西北角一层1-22号铺位,[],陕西省,diner,西安市,[],[],肯悦咖啡西影店,"108.970209,34.221670",[],[],[],catering,388,4
B001D0VEPT,[],中餐,[],[],餐饮服务;外国餐厅;外国餐厅,[],[],050200,0,[],雁塔区,[],[],B0FFLPPNN2,西影路西段609号维也纳国际酒店(西安大雁塔店)内,[],陕西省,diner,西安市,312,[],维也纳国际酒店(西安大雁塔店)-中餐厅,"108.967160,34.223700",[],[],[],catering,388,4
[],[],中餐,[],[],餐饮服务;中餐厅;中餐厅,[],[],050100,0,[],雁塔区,[],[],B0LKTDVU6B,西影路辅路与后村南路交叉口南240米,[],陕西省,diner,西安市,[],[],便壹家宴,"108.971675,34.221075",[],[],[],catering,388,4
B001D06X8X,[],卤味,[],[],餐饮服务;餐饮相关场所;餐饮相关,[],[],050000,0,[],雁塔区,[],15102900091,B0K265UI4O,西路市委党校小区门口东侧第一间商铺,[],陕西省,diner,西安市,320,夫妻肺片,廖记夫妻肺片(大雁塔店)(暂停营业),"108.967602,34.222667",[],[],[],catering,388,4
